user_id,user_journey
160910,Homepage-Course certificate-Courses-Resources center-Homepage-Homepage-Homepage-Homepage-Homepage-Courses-Homepage-Coupon-Coupon
161329,Homepage-Resources center-Homepage-Other-Pricing-Pricing-Courses-Career track certificate-Career tracks-Career tracks-Career tracks-Pricing-Homepage-Courses-Homepage-Checkout-Checkout
161523,Homepage-Pricing-Checkout
161548,Other-Courses-Coupon
162545,Checkout-Courses-Career track certificate-Career tracks-Career tracks-Homepage-Career track certificate-Career tracks-Course certificate-Courses-Courses-Courses-Courses-Courses-Checkout
171697,Coupon
172645,Pricing-Checkout-Homepage-Checkout-Coupon-Checkout-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
182313,Resources center-Resources center-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Resources center-Coupon
185224,Homepage-Homepage-Checkout
185236,Homepage-Course certificate-Courses-Courses-Courses-Checkout
185890,Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Coupon-Resources center-Other-Coupon-Pricing-Career track certificate-Career tracks-Coupon-Coupon
188451,Checkout-Homepage-Checkout
191962,Homepage-Homepage-About us-Other-Other-Other
195227,Resources center-Other-Resources center-Other-Blog-Other-Resources center-Other-Coupon-Coupon-Checkout-Coupon-Homepage-Career tracks-Career tracks-Coupon
202020,Homepage-Homepage-Homepage-Homepage-Other-Homepage-Checkout-Coupon
203365,Homepage-Career track certificate-Homepage-Courses-Upcoming courses-Courses-Homepage-Homepage-Homepage-Homepage-Homepage-Courses-Other-Coupon-Homepage-Pricing-Homepage-Career track certificate-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Checkout-Coupon-Coupon-Coupon
204731,Other
209680,Homepage-Other-Homepage-Other-Checkout-Checkout-Checkout-Other-Other-Resources center-Other-Resources center-Other-Other-Checkout-Checkout
212532,Coupon-Homepage-Other-Coupon
217381,Coupon
219706,Other-Homepage-Pricing-Homepage-Homepage-Career tracks-Pricing-Checkout-Checkout-Pricing-Checkout-Pricing-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
220511,Pricing-Homepage-Coupon-Checkout
220744,Coupon-Coupon-Coupon
222389,Other-Career track certificate-Course certificate-Homepage-Pricing-Checkout-Checkout-Coupon-Coupon-Checkout-Checkout-Homepage-Career track certificate-Career tracks-Homepage-Homepage-Career track certificate-Homepage-Career tracks-Homepage-Other-Pricing-Checkout-Homepage-Checkout-Pricing-Checkout-Homepage-Pricing-Checkout-Pricing-Checkout-Other-Pricing-Pricing-Checkout-Homepage-Checkout-Checkout
223121,Homepage-Pricing-Homepage-Other-Homepage-Pricing-Pricing-Career tracks-Pricing-Pricing-Coupon
223597,Other-Homepage-Homepage-Pricing-Homepage-Coupon
223721,Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Pricing-Checkout-Checkout
223777,Homepage-Homepage-Homepage-Checkout-Checkout-Checkout
223883,Other-Homepage-Checkout-Homepage-Checkout-Other-Course certificate-Career track certificate-Checkout-Homepage-Other-Other-Homepage-Checkout
226950,Other-Homepage-Coupon
227784,Course certificate-Career track certificate-Career tracks-Course certificate-Homepage-Pricing-Homepage-Pricing-Checkout
227846,Coupon
228059,Courses-Checkout-Coupon-Checkout
229602,Other-Coupon-Coupon
230961,Other-Homepage-Homepage-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Homepage-Checkout-Checkout-Homepage-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
233544,Homepage-Homepage-Checkout-Checkout-Checkout
235712,Homepage-Career track certificate-Homepage-Pricing-Career tracks-Career tracks-Homepage-Pricing-Homepage-Pricing-Pricing-Homepage-Career tracks-Career tracks-Courses-Career tracks-Courses-Homepage-Checkout
236893,Homepage-Pricing-Homepage-Pricing-Courses-Pricing-Success stories-Homepage-Pricing-Homepage-Homepage-Pricing-Homepage-Pricing-Checkout
237247,Homepage-Checkout
244110,Coupon-Homepage-Career tracks-Other-Homepage-Homepage-Course certificate-Course certificate-Other-Blog-Checkout
244693,Homepage-Homepage-Homepage-Pricing-Coupon
247070,Homepage-Pricing-Blog-Other-Homepage-Course certificate-Career track certificate-Homepage-Checkout
248835,Homepage-Other-Homepage-Coupon-Coupon-Homepage-Pricing-Career tracks-Homepage-Coupon
249736,Other-Courses-Homepage-Courses-Homepage-Homepage-Courses-Career track certificate-Upcoming courses-Upcoming courses-Checkout-Checkout
250430,Coupon
253512,Checkout-Checkout-Homepage-Checkout
255892,Pricing-Pricing-Courses-Homepage-Homepage-Checkout
256301,Homepage-Course certificate-Upcoming courses-Course certificate-Upcoming courses-Career tracks-Career track certificate-Courses-Homepage-Career track certificate-Course certificate-Career tracks-Course certificate-Course certificate-Courses-Courses-Checkout-Checkout-Checkout-Checkout-Checkout
256312,Coupon-Coupon
258989,Homepage-Resources center-Other-Courses-Courses-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Other-Resources center-Other-Courses-Resources center-Other-Checkout-Checkout
260579,Homepage-Career tracks-Pricing-Checkout-Checkout-Coupon
261077,Resources center-Other-Homepage
261624,Homepage-Pricing-Career tracks-Coupon-Checkout
262246,Homepage-Other-Other-Success stories-Resources center-Homepage-Checkout
262728,Checkout
262999,Checkout
263101,Homepage-Homepage-Resources center-Courses-Career track certificate-Career track certificate-Homepage-Pricing-Checkout-Pricing-Checkout-Pricing-Checkout-Pricing-Course certificate-Homepage-Pricing-Checkout-Homepage-Checkout
266371,Other-Other-Other-Pricing-Homepage-Homepage-Courses-Homepage-Homepage-Pricing-Checkout-Homepage-Pricing-Pricing-Checkout-Courses-Career tracks-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Coupon
267025,Homepage-Homepage-Coupon
267334,Homepage-Courses-Course certificate-Courses-Courses-Homepage-Courses-Courses-Checkout
267719,Career tracks-Checkout-Checkout
267955,Other-Homepage-Courses-Courses-Other-Other-Other-Other-Checkout-Homepage-Upcoming courses-Pricing-Checkout-Homepage-Pricing-Checkout-Resources center-Courses-Resources center-Other-Checkout-Coupon-Resources center-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
269209,Resources center-Resources center-Coupon
269345,Other-Other-Homepage-Checkout
270317,Homepage-Checkout
271000,Homepage-Coupon
271778,Coupon
272443,Other-Resources center-Homepage-Checkout-Checkout-Checkout
273256,Pricing-Homepage-Homepage-Career tracks-Pricing-Resources center-Homepage-Homepage-Checkout-Checkout
274222,Homepage-Courses-Coupon-Coupon-Homepage-Checkout-Checkout
274586,Coupon-Pricing-Homepage-Coupon-Coupon
275657,Other-Homepage-Pricing-Checkout-Coupon
277395,Homepage-Homepage-Pricing-Courses-Courses-Course certificate-Homepage-Pricing-Homepage-Courses-Upcoming courses-Courses-Courses-Homepage-Pricing-Pricing-Courses-Upcoming courses-Courses-Homepage-Courses-Upcoming courses-Resources center-Upcoming courses-Success stories-Career track certificate-Resources center-About us-Other-Homepage-Checkout
278099,Homepage-Career tracks-Career tracks-Coupon-Checkout
278257,Other-Coupon
279567,Pricing-Career track certificate-Pricing-Resources center-Homepage-Courses-Career tracks-Career track certificate-Course certificate-Other-Courses-Coupon-Coupon
279886,Other-Homepage-Career tracks-Career tracks-Career track certificate-Career track certificate-Career tracks-Homepage-Career tracks-Career tracks-Courses-Career tracks-Courses-Homepage-Success stories-Career track certificate-Homepage-Career tracks-Homepage-Career tracks-Courses-Homepage-Career tracks-Success stories-Homepage-Career tracks-Homepage-Career tracks-Courses-Pricing-Checkout-Success stories-Career tracks-Courses-Career tracks-Courses-Career tracks-Homepage-Other-Pricing-Homepage-Career tracks-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Other-Homepage-Pricing-Homepage-Career tracks-Courses-Career tracks-Pricing-Homepage-Homepage-Career tracks-Courses-Career tracks-Homepage-Homepage-Career tracks-Courses-Career tracks-Homepage-Pricing-Pricing-Resources center-Career track certificate-Courses-Homepage-Career tracks-Homepage-Homepage-Career tracks-Courses-Career tracks-Courses-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Resources center-Courses-Pricing-Checkout-Pricing-Career tracks-Homepage-Resources center-Course certificate-Courses-Courses-Course certificate-Career track certificate-Course certificate-Courses-Courses-Courses-Courses-Courses-Homepage-Homepage-Career tracks-Homepage-Career tracks-Career tracks-Courses-Career tracks-Courses-Courses-Courses-Homepage-Courses-Courses-Courses-Courses-Homepage-Courses-Courses-Pricing-Courses-Other-Courses-Other-Courses-Other-Other-Other-Other-Homepage-Career tracks-Homepage-Career tracks-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Homepage-Pricing-Courses-Career track certificate-Career tracks-Courses-Career tracks-Pricing-Career tracks-Career tracks-Courses-Career tracks-Other-Career tracks-Homepage-Homepage-Career tracks-Homepage-Coupon
280244,Homepage-Homepage-Career tracks-Homepage-Career tracks-Pricing-Homepage-Homepage-Homepage-Career tracks-Homepage-Homepage-Homepage-Homepage-Career tracks-Homepage-Checkout
281132,Homepage-Career track certificate-Homepage-Career track certificate-Pricing-Career track certificate-Upcoming courses-Career tracks-Homepage-Coupon-Homepage-Career track certificate-Pricing-Courses-Career tracks-Pricing-Checkout-Pricing-Other-Homepage-Pricing-Career track certificate-Resources center-Other-Pricing-Career tracks-Career tracks-Career track certificate-Other-Coupon-Coupon
282606,Homepage-Career track certificate-Coupon
